dataset,split,method,seed,classifier,metric,acc,disp,hyp
compas,1,correlation_remover,1,RF,DP,0.6804925469863902,0.3084512578616352,0.0
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,0.1111111111111111
compas,1,correlation_remover,1,RF,DP,0.6526247569669476,0.245440251572327,0.2222222222222222
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,0.3333333333333333
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,0.4444444444444444
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,0.5555555555555556
compas,1,correlation_remover,1,RF,DP,0.6526247569669476,0.245440251572327,0.6666666666666666
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,0.7777777777777777
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,0.8888888888888888
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.245440251572327,1.0
compas,1,correlation_remover,1,RF,TPR,0.6804925469863902,0.3318922749822821,0.0
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.1111111111111111
compas,1,correlation_remover,1,RF,TPR,0.6526247569669476,0.2981425702811245,0.2222222222222222
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.3333333333333333
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.4444444444444444
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.5555555555555556
compas,1,correlation_remover,1,RF,TPR,0.6526247569669476,0.2981425702811245,0.6666666666666666
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.7777777777777777
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.8888888888888888
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,1.0
compas,1,correlation_remover,1,RF,FPR,0.6804925469863902,0.2032258064516129,0.0
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,0.1111111111111111
compas,1,correlation_remover,1,RF,FPR,0.6526247569669476,0.1561120543293718,0.2222222222222222
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,0.3333333333333333
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,0.4444444444444444
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,0.5555555555555556
compas,1,correlation_remover,1,RF,FPR,0.6526247569669476,0.1561120543293718,0.6666666666666666
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,0.7777777777777777
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,0.8888888888888888
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.1561120543293718,1.0
compas,1,correlation_remover,1,RF,EO,0.6804925469863902,0.3318922749822821,0.0
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,0.1111111111111111
compas,1,correlation_remover,1,RF,EO,0.6526247569669476,0.2981425702811245,0.2222222222222222
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,0.3333333333333333
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,0.4444444444444444
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,0.5555555555555556
compas,1,correlation_remover,1,RF,EO,0.6526247569669476,0.2981425702811245,0.6666666666666666
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,0.7777777777777777
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,0.8888888888888888
compas,1,correlation_remover,1,RF,EO,0.6545690213869086,0.2981425702811245,1.0
compas,1,correlation_remover,1,LR,DP,0.6811406351263772,0.3095518867924528,0.0
compas,1,correlation_remover,1,LR,DP,0.6811406351263772,0.2685927672955974,0.1111111111111111
compas,1,correlation_remover,1,LR,DP,0.6804925469863902,0.2477594339622641,0.2222222222222222
compas,1,correlation_remover,1,LR,DP,0.6804925469863902,0.2244103773584905,0.3333333333333333
compas,1,correlation_remover,1,LR,DP,0.679196370706416,0.1922562893081761,0.4444444444444444
compas,1,correlation_remover,1,LR,DP,0.6772521062864549,0.1877088948787061,0.5555555555555556
compas,1,correlation_remover,1,LR,DP,0.6740116655865198,0.1600359389038634,0.6666666666666666
compas,1,correlation_remover,1,LR,DP,0.6746597537265068,0.148607367475292,0.7777777777777777
compas,1,correlation_remover,1,LR,DP,0.6746597537265068,0.148607367475292,0.8888888888888888
compas,1,correlation_remover,1,LR,DP,0.6740116655865198,0.2065476190476191,1.0
compas,1,correlation_remover,1,LR,TPR,0.6811406351263772,0.3140326009922041,0.0
compas,1,correlation_remover,1,LR,TPR,0.6811406351263772,0.2359319631467045,0.1111111111111111
compas,1,correlation_remover,1,LR,TPR,0.6804925469863902,0.2110890162592116,0.2222222222222222
compas,1,correlation_remover,1,LR,TPR,0.6804925469863902,0.2086793777049946,0.3333333333333333
compas,1,correlation_remover,1,LR,TPR,0.679196370706416,0.1990408234881272,0.4444444444444444
compas,1,correlation_remover,1,LR,TPR,0.6772521062864549,0.1942215463796934,0.5555555555555556
compas,1,correlation_remover,1,LR,TPR,0.6740116655865198,0.167715522283308,0.6666666666666666
compas,1,correlation_remover,1,LR,TPR,0.6746597537265068,0.1482980465551526,0.7777777777777777
compas,1,correlation_remover,1,LR,TPR,0.6746597537265068,0.1482980465551526,0.8888888888888888
compas,1,correlation_remover,1,LR,TPR,0.6740116655865198,0.2498572244431753,1.0
compas,1,correlation_remover,1,LR,FPR,0.6811406351263772,0.215704584040747,0.0
compas,1,correlation_remover,1,LR,FPR,0.6811406351263772,0.1946519524617996,0.1111111111111111
compas,1,correlation_remover,1,LR,FPR,0.6804925469863902,0.1785229202037351,0.2222222222222222
compas,1,correlation_remover,1,LR,FPR,0.6804925469863902,0.1691538974017321,0.3333333333333333
compas,1,correlation_remover,1,LR,FPR,0.679196370706416,0.1180213191205862,0.4444444444444444
compas,1,correlation_remover,1,LR,FPR,0.6772521062864549,0.1153897401732178,0.5555555555555556
compas,1,correlation_remover,1,LR,FPR,0.6740116655865198,0.1089594498938214,0.6666666666666666
compas,1,correlation_remover,1,LR,FPR,0.6746597537265068,0.1026898574173323,0.7777777777777777
compas,1,correlation_remover,1,LR,FPR,0.6746597537265068,0.1349479219334614,0.8888888888888888
compas,1,correlation_remover,1,LR,FPR,0.6740116655865198,0.1994640509657194,1.0
compas,1,correlation_remover,1,LR,EO,0.6811406351263772,0.3140326009922041,0.0
compas,1,correlation_remover,1,LR,EO,0.6811406351263772,0.2359319631467045,0.1111111111111111
compas,1,correlation_remover,1,LR,EO,0.6804925469863902,0.2110890162592116,0.2222222222222222
compas,1,correlation_remover,1,LR,EO,0.6804925469863902,0.2086793777049946,0.3333333333333333
compas,1,correlation_remover,1,LR,EO,0.679196370706416,0.1990408234881272,0.4444444444444444
compas,1,correlation_remover,1,LR,EO,0.6772521062864549,0.1942215463796934,0.5555555555555556
compas,1,correlation_remover,1,LR,EO,0.6740116655865198,0.167715522283308,0.6666666666666666
compas,1,correlation_remover,1,LR,EO,0.6746597537265068,0.1482980465551526,0.7777777777777777
compas,1,correlation_remover,1,LR,EO,0.6746597537265068,0.1482980465551526,0.8888888888888888
compas,1,correlation_remover,1,LR,EO,0.6740116655865198,0.2498572244431753,1.0
compas,1,correlation_remover,1,DT,DP,0.6766040181464679,0.3163522012578617,0.0
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.1111111111111111
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.2222222222222222
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.3333333333333333
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.4444444444444444
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.5555555555555556
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.6666666666666666
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.7777777777777777
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,0.8888888888888888
compas,1,correlation_remover,1,DT,DP,0.6558651976668827,0.3144455999603823,1.0
compas,1,correlation_remover,1,DT,TPR,0.6766040181464679,0.3588944011339475,0.0
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.1111111111111111
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.2222222222222222
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.3333333333333333
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.4444444444444444
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.5555555555555556
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.6666666666666666
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.7777777777777777
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,0.8888888888888888
compas,1,correlation_remover,1,DT,TPR,0.6558651976668827,0.3974899598393573,1.0
compas,1,correlation_remover,1,DT,FPR,0.6766040181464679,0.2005942275042444,0.0
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.1111111111111111
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.2222222222222222
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.3333333333333333
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.4444444444444444
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.5555555555555556
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.6666666666666666
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.7777777777777777
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,0.8888888888888888
compas,1,correlation_remover,1,DT,FPR,0.6558651976668827,0.1854430379746835,1.0
compas,1,correlation_remover,1,DT,EO,0.6766040181464679,0.3588944011339475,0.0
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.1111111111111111
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.2222222222222222
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.3333333333333333
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.4444444444444444
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.5555555555555556
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.6666666666666666
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.7777777777777777
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,0.8888888888888888
compas,1,correlation_remover,1,DT,EO,0.6558651976668827,0.3974899598393573,1.0
compas,1,correlation_remover,1,SVM,DP,0.6772521062864549,0.3215801886792453,0.0
compas,1,correlation_remover,1,SVM,DP,0.6772521062864549,0.3111635220125786,0.1111111111111111
compas,1,correlation_remover,1,SVM,DP,0.6766040181464679,0.2786556603773584,0.2222222222222222
compas,1,correlation_remover,1,SVM,DP,0.6759559300064809,0.2265723270440251,0.3333333333333333
compas,1,correlation_remover,1,SVM,DP,0.6746597537265068,0.2136399371069182,0.4444444444444444
compas,1,correlation_remover,1,SVM,DP,0.6753078418664938,0.18812893081761,0.5555555555555556
compas,1,correlation_remover,1,SVM,DP,0.6753078418664938,0.178066037735849,0.6666666666666666
compas,1,correlation_remover,1,SVM,DP,0.6733635774465327,0.1547888589398023,0.7777777777777777
compas,1,correlation_remover,1,SVM,DP,0.6675307841866494,0.139047619047619,0.8888888888888888
compas,1,correlation_remover,1,SVM,DP,0.6675307841866494,0.1371428571428571,1.0
compas,1,correlation_remover,1,SVM,TPR,0.6772521062864549,0.3019844082211198,0.0
compas,1,correlation_remover,1,SVM,TPR,0.6772521062864549,0.3019844082211198,0.1111111111111111
compas,1,correlation_remover,1,SVM,TPR,0.6766040181464679,0.2407512402551381,0.2222222222222222
compas,1,correlation_remover,1,SVM,TPR,0.6759559300064809,0.2061995555035676,0.3333333333333333
compas,1,correlation_remover,1,SVM,TPR,0.6746597537265068,0.2013802783951339,0.4444444444444444
compas,1,correlation_remover,1,SVM,TPR,0.6753078418664938,0.1675049713416774,0.5555555555555556
compas,1,correlation_remover,1,SVM,TPR,0.6753078418664938,0.1578664171248098,0.6666666666666666
compas,1,correlation_remover,1,SVM,TPR,0.6733635774465327,0.1458182243537256,0.7777777777777777
compas,1,correlation_remover,1,SVM,TPR,0.6675307841866494,0.1241314773657737,0.8888888888888888
compas,1,correlation_remover,1,SVM,TPR,0.6675307841866494,0.1192771084337349,1.0
compas,1,correlation_remover,1,SVM,FPR,0.6772521062864549,0.2426994906621392,0.0
compas,1,correlation_remover,1,SVM,FPR,0.6772521062864549,0.2265704584040747,0.1111111111111111
compas,1,correlation_remover,1,SVM,FPR,0.6766040181464679,0.2104414261460102,0.2222222222222222
compas,1,correlation_remover,1,SVM,FPR,0.6759559300064809,0.1620543293718166,0.3333333333333333
compas,1,correlation_remover,1,SVM,FPR,0.6746597537265068,0.1496002664890073,0.4444444444444444
compas,1,correlation_remover,1,SVM,FPR,0.6753078418664938,0.1338107928047968,0.5555555555555556
compas,1,correlation_remover,1,SVM,FPR,0.6753078418664938,0.123284477015323,0.6666666666666666
compas,1,correlation_remover,1,SVM,FPR,0.6733635774465327,0.1153897401732178,0.7777777777777777
compas,1,correlation_remover,1,SVM,FPR,0.6675307841866494,0.1101265822784809,0.8888888888888888
compas,1,correlation_remover,1,SVM,FPR,0.6675307841866494,0.0974683544303797,1.0
compas,1,correlation_remover,1,SVM,EO,0.6772521062864549,0.3019844082211198,0.0
compas,1,correlation_remover,1,SVM,EO,0.6772521062864549,0.3019844082211198,0.1111111111111111
compas,1,correlation_remover,1,SVM,EO,0.6766040181464679,0.2407512402551381,0.2222222222222222
compas,1,correlation_remover,1,SVM,EO,0.6759559300064809,0.2061995555035676,0.3333333333333333
compas,1,correlation_remover,1,SVM,EO,0.6746597537265068,0.2013802783951339,0.4444444444444444
compas,1,correlation_remover,1,SVM,EO,0.6753078418664938,0.1675049713416774,0.5555555555555556
compas,1,correlation_remover,1,SVM,EO,0.6753078418664938,0.1578664171248098,0.6666666666666666
compas,1,correlation_remover,1,SVM,EO,0.6733635774465327,0.1458182243537256,0.7777777777777777
compas,1,correlation_remover,1,SVM,EO,0.6675307841866494,0.1241314773657737,0.8888888888888888
compas,1,correlation_remover,1,SVM,EO,0.6675307841866494,0.1192771084337349,1.0
compas,1,correlation_remover,1,MLP,DP,0.6830848995463383,0.2946147798742138,0.0
compas,1,correlation_remover,1,MLP,DP,0.6824368114063513,0.2779088050314465,0.1111111111111111
compas,1,correlation_remover,1,MLP,DP,0.6824368114063513,0.255817610062893,0.2222222222222222
compas,1,correlation_remover,1,MLP,DP,0.6798444588464031,0.1806368543554697,0.3333333333333333
compas,1,correlation_remover,1,MLP,DP,0.6811406351263772,0.1952560646900269,0.4444444444444444
compas,1,correlation_remover,1,MLP,DP,0.677900194426442,0.1806648697214735,0.5555555555555556
compas,1,correlation_remover,1,MLP,DP,0.6746597537265068,0.1736927223719676,0.6666666666666666
compas,1,correlation_remover,1,MLP,DP,0.6733635774465327,0.1858760107816711,0.7777777777777777
compas,1,correlation_remover,1,MLP,DP,0.6727154893065457,0.1895238095238095,0.8888888888888888
compas,1,correlation_remover,1,MLP,DP,0.6720674011665586,0.1942261904761904,1.0
compas,1,correlation_remover,1,MLP,TPR,0.6830848995463383,0.3198440822111977,0.0
compas,1,correlation_remover,1,MLP,TPR,0.6824368114063513,0.2832034018426647,0.1111111111111111
compas,1,correlation_remover,1,MLP,TPR,0.6824368114063513,0.2537916371367824,0.2222222222222222
compas,1,correlation_remover,1,MLP,TPR,0.6798444588464031,0.174768978827933,0.3333333333333333
compas,1,correlation_remover,1,MLP,TPR,0.6811406351263772,0.1990057316645221,0.4444444444444444
compas,1,correlation_remover,1,MLP,TPR,0.677900194426442,0.1868873552462275,0.5555555555555556
compas,1,correlation_remover,1,MLP,TPR,0.6746597537265068,0.1820329863141887,0.6666666666666666
compas,1,correlation_remover,1,MLP,TPR,0.6733635774465327,0.2250142775556824,0.7777777777777777
compas,1,correlation_remover,1,MLP,TPR,0.6727154893065457,0.2055968018275271,0.8888888888888888
compas,1,correlation_remover,1,MLP,TPR,0.6720674011665586,0.1958880639634495,1.0
compas,1,correlation_remover,1,MLP,FPR,0.6830848995463383,0.1874363327674023,0.0
compas,1,correlation_remover,1,MLP,FPR,0.6824368114063513,0.1821731748726655,0.1111111111111111
compas,1,correlation_remover,1,MLP,FPR,0.6824368114063513,0.1634125636672326,0.2222222222222222
compas,1,correlation_remover,1,MLP,FPR,0.6798444588464031,0.1333111259160559,0.3333333333333333
compas,1,correlation_remover,1,MLP,FPR,0.6811406351263772,0.1333111259160559,0.4444444444444444
compas,1,correlation_remover,1,MLP,FPR,0.677900194426442,0.1206528980679547,0.5555555555555556
compas,1,correlation_remover,1,MLP,FPR,0.6746597537265068,0.0915937964032338,0.6666666666666666
compas,1,correlation_remover,1,MLP,FPR,0.6733635774465327,0.1734755789260794,0.7777777777777777
compas,1,correlation_remover,1,MLP,FPR,0.6727154893065457,0.2006941608819926,0.8888888888888888
compas,1,correlation_remover,1,MLP,FPR,0.6720674011665586,0.2093234907472949,1.0
compas,1,correlation_remover,1,MLP,EO,0.6830848995463383,0.3198440822111977,0.0
compas,1,correlation_remover,1,MLP,EO,0.6824368114063513,0.2832034018426647,0.1111111111111111
compas,1,correlation_remover,1,MLP,EO,0.6824368114063513,0.2537916371367824,0.2222222222222222
compas,1,correlation_remover,1,MLP,EO,0.6798444588464031,0.174768978827933,0.3333333333333333
compas,1,correlation_remover,1,MLP,EO,0.6811406351263772,0.1990057316645221,0.4444444444444444
compas,1,correlation_remover,1,MLP,EO,0.677900194426442,0.1868873552462275,0.5555555555555556
compas,1,correlation_remover,1,MLP,EO,0.6746597537265068,0.1820329863141887,0.6666666666666666
compas,1,correlation_remover,1,MLP,EO,0.6733635774465327,0.2250142775556824,0.7777777777777777
compas,1,correlation_remover,1,MLP,EO,0.6727154893065457,0.2055968018275271,0.8888888888888888
compas,1,correlation_remover,1,MLP,EO,0.6720674011665586,0.2093234907472949,1.0
compas,1,correlation_remover,1,KNN,DP,0.6474400518470512,0.2569182389937107,0.0
compas,1,correlation_remover,1,KNN,DP,0.6234607906675308,0.2722329520130738,0.1111111111111111
compas,1,correlation_remover,1,KNN,DP,0.6228127025275437,0.2473530431337592,0.2222222222222222
compas,1,correlation_remover,1,KNN,DP,0.6247569669475048,0.2709750903778537,0.3333333333333333
compas,1,correlation_remover,1,KNN,DP,0.6254050550874919,0.2631010746298222,0.4444444444444444
compas,1,correlation_remover,1,KNN,DP,0.6254050550874919,0.2643589362650423,0.5555555555555556
compas,1,correlation_remover,1,KNN,DP,0.6247569669475048,0.2722329520130738,0.6666666666666666
compas,1,correlation_remover,1,KNN,DP,0.6221646143875567,0.261843212994602,0.7777777777777777
compas,1,correlation_remover,1,KNN,DP,0.6228127025275437,0.2460951814985391,0.8888888888888888
compas,1,correlation_remover,1,KNN,DP,0.6234607906675308,0.230347150002476,1.0
compas,1,correlation_remover,1,KNN,TPR,0.6474400518470512,0.3150248051027639,0.0
compas,1,correlation_remover,1,KNN,TPR,0.6234607906675308,0.2442771084337349,0.1111111111111111
compas,1,correlation_remover,1,KNN,TPR,0.6228127025275437,0.2234437751004016,0.2222222222222222
compas,1,correlation_remover,1,KNN,TPR,0.6247569669475048,0.2442771084337349,0.3333333333333333
